lsl_timestamp,TP9,AF7,AF8,TP10,Right AUX
86439.872616958,-28.3203125,-27.34375,-45.41015625,-60.546875,0.0
86439.876523208,-14.16015625,-29.78515625,-58.59375,-44.43359375,0.0
86439.880429458,-28.80859375,-38.57421875,-67.3828125,-28.80859375,0.0
86439.884335708,-53.7109375,-42.48046875,-48.828125,-46.38671875,0.0
86439.888241958,-33.203125,-41.50390625,-41.015625,-66.89453125,0.0
86439.887293958,-16.11328125,-38.0859375,-44.921875,-57.12890625,0.0
86439.891200208,-31.73828125,-32.2265625,-43.45703125,-47.8515625,0.0
86439.895106458,-55.17578125,-28.3203125,-48.828125,-34.1796875,0.0
86439.899012708,-21.97265625,-28.80859375,-51.7578125,-32.71484375,0.0
86439.902918958,15.13671875,-27.34375,-51.26953125,-38.57421875,0.0
86439.906825208,-14.16015625,-31.73828125,-47.36328125,-21.97265625,0.0
86439.910731458,-58.10546875,-38.0859375,-41.50390625,-12.6953125,0.0
86439.914637708,-42.48046875,-35.64453125,-35.64453125,-18.06640625,0.0
86439.918543958,-28.3203125,-32.2265625,-28.80859375,-19.04296875,0.0
86439.922450208,-16.6015625,-33.69140625,-35.64453125,-12.20703125,0.0
86439.926356458,-35.15625,-34.1796875,-47.36328125,-10.25390625,0.0
86439.930262708,-52.734375,-34.66796875,-49.8046875,-40.0390625,0.0
86439.933372041,-23.92578125,-30.76171875,-56.15234375,-51.7578125,0.0
86439.937278291,-1.46484375,-33.69140625,-56.640625,-26.3671875,0.0
86439.941184541,-16.6015625,-41.50390625,-46.875,-13.671875,0.0
86439.945090791,-40.0390625,-29.78515625,-31.73828125,-22.94921875,0.0
86439.948997041,-26.85546875,-23.92578125,-29.78515625,-36.1328125,0.0
86439.952903291,-21.97265625,-34.1796875,-34.66796875,-27.83203125,0.0
86439.956809541,-31.73828125,-38.57421875,-31.73828125,-13.671875,0.0
86439.960715791,-43.45703125,-33.203125,-37.59765625,-35.64453125,0.0
86439.964622041,-15.625,-35.15625,-58.59375,-52.734375,0.0
86439.968528291,0.48828125,-36.1328125,-62.98828125,-43.9453125,0.0
86439.972434541,-6.34765625,-24.90234375,-54.19921875,-31.25,0.0
86439.976340791,-38.0859375,-32.71484375,-51.26953125,-28.3203125,0.0
86439.978960333,-58.10546875,-47.8515625,-42.48046875,-52.734375,0.0
86439.982866583,-47.8515625,-48.828125,-36.1328125,-61.03515625,0.0
86439.986772833,-39.0625,-48.828125,-36.62109375,-36.62109375,0.0
86439.990679083,-46.38671875,-42.96875,-38.57421875,-25.87890625,0.0
86439.994585333,-44.43359375,-31.25,-45.8984375,-47.8515625,0.0
86439.998491583,-7.32421875,-23.4375,-54.6875,-53.22265625,0.0
86440.002397833,-11.71875,-26.3671875,-45.8984375,-36.1328125,0.0
86440.006304083,-44.43359375,-33.69140625,-38.0859375,-27.83203125,0.0
86440.010210333,-52.24609375,-39.0625,-44.921875,-31.73828125,0.0
86440.014116583,-35.64453125,-38.57421875,-45.8984375,-40.52734375,0.0
86440.018022833,-44.43359375,-39.55078125,-30.76171875,-35.64453125,0.0
86440.021929083,-59.5703125,-29.78515625,-32.71484375,-20.5078125,0.0
86440.022569958,-61.5234375,-19.04296875,-42.48046875,-25.390625,0.0
86440.026476208,-35.64453125,-26.85546875,-43.45703125,-44.921875,0.0
86440.030382458,-18.06640625,-31.25,-49.31640625,-38.0859375,0.0
86440.034288708,-24.90234375,-34.66796875,-43.45703125,-10.7421875,0.0
86440.038194958,-67.87109375,-44.921875,-46.38671875,-2.44140625,0.0
86440.042101208,-73.2421875,-43.9453125,-48.828125,-38.0859375,0.0
86440.046007458,-37.59765625,-34.1796875,-34.1796875,-59.5703125,0.0
86440.049913708,-32.2265625,-33.69140625,-36.1328125,-38.0859375,0.0
86440.053819958,-51.26953125,-29.296875,-46.875,-6.8359375,0.0
86440.057726208,-61.03515625,-30.2734375,-41.50390625,-15.13671875,0.0
86440.061632458,-34.1796875,-34.1796875,-42.48046875,-40.0390625,0.0
86440.065538708,-13.18359375,-28.3203125,-47.8515625,-41.015625,0.0
86440.092048041,-30.2734375,-32.71484375,-47.36328125,-36.1328125,0.0
86440.095954291,-57.6171875,-39.0625,-40.52734375,-44.43359375,0.0
86440.099860541,-39.55078125,-41.015625,-37.59765625,-54.19921875,0.0
86440.103766791,-25.87890625,-40.52734375,-34.1796875,-34.1796875,0.0
86440.107673041,-31.73828125,-41.015625,-23.92578125,-23.4375,0.0
86440.111579291,-53.7109375,-36.1328125,-26.85546875,-23.92578125,0.0
86440.115485541,-35.64453125,-30.2734375,-34.1796875,-23.92578125,0.0
86440.119391791,-10.7421875,-30.76171875,-37.59765625,-23.4375,0.0
86440.123298041,-19.53125,-28.80859375,-39.0625,-20.01953125,0.0
86440.127204291,-59.08203125,-37.59765625,-48.828125,-26.3671875,0.0
86440.131110541,-56.640625,-45.41015625,-62.01171875,-25.390625,0.0
86440.135016791,-15.13671875,-41.50390625,-54.6875,-32.71484375,0.0
86440.114159666,7.32421875,-31.73828125,-39.0625,-35.15625,0.0
86440.118065916,-11.71875,-21.484375,-38.57421875,-22.94921875,0.0
86440.121972166,-41.015625,-23.92578125,-43.45703125,-20.5078125,0.0
86440.125878416,-36.62109375,-26.85546875,-31.25,-26.3671875,0.0
86440.129784666,-52.734375,-23.92578125,-28.3203125,-18.5546875,0.0
86440.133690916,-56.640625,-34.66796875,-41.015625,-20.99609375,0.0
86440.137597166,-52.24609375,-43.45703125,-43.45703125,-24.90234375,0.0
86440.141503416,-33.203125,-43.9453125,-41.9921875,-29.78515625,0.0
86440.145409666,-20.5078125,-44.921875,-41.9921875,-36.1328125,0.0
86440.149315916,-16.6015625,-39.55078125,-39.0625,-24.90234375,0.0
86440.153222166,-37.109375,-34.66796875,-34.66796875,-18.06640625,0.0
86440.157128416,-40.0390625,-29.296875,-38.0859375,-26.85546875,0.0
86440.187045291,-26.85546875,-32.2265625,-42.48046875,-34.1796875,0.0
86440.190951541,-21.484375,-40.52734375,-47.8515625,-18.5546875,0.0
86440.194857791,-39.55078125,-41.015625,-57.6171875,-20.01953125,0.0
86440.198764041,-47.36328125,-37.109375,-50.78125,-44.43359375,0.0
86440.202670291,-5.37109375,-24.4140625,-43.9453125,-50.29296875,0.0
86440.206576541,8.30078125,-21.484375,-48.33984375,-35.15625,0.0
86440.210482791,-22.94921875,-35.64453125,-49.8046875,-25.87890625,0.0
86440.214389041,-43.9453125,-36.62109375,-50.78125,-33.69140625,0.0
86440.218295291,-26.3671875,-36.1328125,-49.8046875,-31.25,0.0
86440.222201541,-12.6953125,-44.43359375,-62.5,-17.08984375,0.0
86440.226107791,-30.2734375,-46.875,-68.84765625,-17.578125,0.0
86440.230014041,-50.29296875,-39.55078125,-52.734375,-28.3203125,0.0
86440.233818458,-31.73828125,-31.73828125,-47.36328125,-47.8515625,0.0
86440.237724708,-6.8359375,-26.85546875,-55.6640625,-48.33984375,0.0
86440.241630958,3.90625,-31.73828125,-56.640625,-30.76171875,0.0
