lsl_timestamp,TP9,AF7,AF8,TP10
440788.8052875,-20.99609375,-32.71484375,-256.8359375,-3.41796875
440788.80919375,16.11328125,-30.2734375,682.6171875,-2.44140625
440788.8131,9.27734375,-40.0390625,439.94140625,-9.765625
440788.81700625,-25.390625,-41.015625,-506.8359375,-16.6015625
440788.8209125,-23.92578125,-36.1328125,-447.265625,-11.23046875
440788.82481875,6.34765625,-33.203125,527.83203125,-2.9296875
440788.828725,8.7890625,-39.0625,499.0234375,-3.41796875
440788.83263125,-21.484375,-40.52734375,-579.58984375,-4.8828125
440788.8365375,-32.2265625,-30.2734375,-422.8515625,-8.30078125
440788.84044375,-9.27734375,-34.66796875,476.5625,-18.5546875
440788.847999541,9.27734375,-52.24609375,555.17578125,-26.85546875
440788.851905791,-11.71875,-55.6640625,-149.90234375,-18.5546875
440788.855812041,-41.50390625,-45.41015625,-376.46484375,-21.97265625
440788.859718291,-30.2734375,-36.62109375,239.74609375,-26.3671875
440788.863624541,-4.8828125,-30.2734375,481.93359375,-16.6015625
440788.867530791,-14.6484375,-29.296875,-158.203125,-17.08984375
440788.871437041,-41.9921875,-30.2734375,-507.8125,-19.53125
440788.875343291,-35.64453125,-27.34375,66.89453125,-19.53125
440788.879249541,-9.765625,-34.66796875,282.2265625,-14.16015625
440788.883155791,-16.6015625,-40.52734375,-72.75390625,-16.11328125
440788.887062041,-44.921875,-42.48046875,-113.76953125,-20.99609375
440788.890968291,-47.36328125,-50.78125,-36.62109375,-9.765625
440788.898681083,-21.484375,-51.7578125,267.578125,-3.41796875
440788.902587333,-14.16015625,-42.96875,547.36328125,-22.94921875
440788.906493583,-27.34375,-34.66796875,230.46875,-28.3203125
440788.910399833,-39.55078125,-35.15625,-229.98046875,-25.87890625
440788.914306083,-19.53125,-36.1328125,-51.7578125,-18.5546875
440788.918212333,0.48828125,-33.69140625,251.953125,-23.92578125
440788.922118583,-25.87890625,-40.52734375,18.5546875,-34.66796875
440788.926024833,-44.921875,-47.36328125,-334.47265625,-26.3671875
440788.929931083,-17.578125,-43.9453125,-707.51953125,-12.20703125
440788.933837333,-2.9296875,-35.15625,75.68359375,-16.11328125
440788.937743583,-20.01953125,-41.9921875,541.50390625,-16.11328125
440788.941649833,-42.96875,-43.45703125,-201.66015625,-18.06640625
440788.94761175,-31.73828125,-40.52734375,-211.9140625,-22.94921875
440788.951518,-2.44140625,-41.015625,522.94921875,-13.18359375
440788.95542425,-12.6953125,-42.48046875,626.46484375,-17.578125
440788.9593305,-41.9921875,-42.48046875,-101.5625,-26.85546875
440788.96323675,-47.8515625,-41.9921875,-282.2265625,-22.4609375
440788.967143,-17.578125,-42.96875,153.3203125,-11.23046875
440788.97104925,7.8125,-40.52734375,279.78515625,-10.7421875
440788.9749555,-18.06640625,-51.7578125,-315.4296875,-18.5546875
440788.97886175,-44.43359375,-53.22265625,-940.91796875,-17.578125
440788.982768,-12.6953125,-35.64453125,28.3203125,-18.06640625
440788.98667425,14.16015625,-36.62109375,798.828125,-7.8125
440788.9905805,-4.8828125,-41.9921875,118.1640625,-14.16015625
440788.993252083,-33.69140625,-32.71484375,-273.4375,-20.5078125
440788.997158333,-20.99609375,-28.80859375,222.16796875,-15.13671875
440789.001064583,10.7421875,-41.50390625,686.03515625,-22.4609375
440789.004970833,4.8828125,-42.96875,265.13671875,-17.08984375
440789.008877083,-22.94921875,-37.59765625,-236.328125,-17.08984375
440789.012783333,-27.83203125,-41.50390625,-217.28515625,-16.11328125
440789.016689583,-1.46484375,-48.828125,123.046875,-21.484375
440789.020595833,0.48828125,-50.78125,-149.90234375,-20.5078125
440789.024502083,-29.78515625,-38.0859375,-395.99609375,-1.953125
440789.028408333,-39.55078125,-36.62109375,-305.6640625,-11.71875
440789.032314583,-2.44140625,-42.96875,-56.15234375,-24.4140625
440789.036220833,16.6015625,-43.9453125,210.9375,-29.78515625
440789.018373041,-11.23046875,-45.8984375,176.26953125,-35.15625
440789.022279291,-33.203125,-47.8515625,-67.87109375,-27.34375
440789.026185541,-6.34765625,-47.36328125,98.6328125,-21.97265625
440789.030091791,15.625,-40.0390625,567.87109375,-28.80859375
440789.033998041,-7.8125,-43.45703125,424.8046875,-26.85546875
440789.037904291,-37.109375,-47.8515625,-280.2734375,-12.20703125
440789.041810541,-29.296875,-38.57421875,-479.00390625,-9.765625
440789.045716791,1.953125,-38.0859375,38.0859375,-1.46484375
440789.049623041,2.44140625,-34.1796875,477.5390625,-2.44140625
440789.053529291,-29.296875,-34.1796875,24.90234375,-23.92578125
440789.057435541,-33.69140625,-40.0390625,-370.1171875,-23.92578125
440789.061341791,0.9765625,-39.55078125,191.89453125,-14.16015625
440789.0915895,11.23046875,-45.41015625,424.8046875,-13.671875
440789.09549575,-19.53125,-48.828125,-33.203125,-18.06640625
440789.099402,-34.66796875,-48.828125,-614.74609375,-22.4609375
440789.10330825,-12.6953125,-46.38671875,-62.98828125,-11.23046875
440789.1072145,14.16015625,-51.7578125,651.3671875,-1.953125
440789.11112075,3.41796875,-52.24609375,-7.8125,-6.8359375
440789.115027,-29.296875,-52.734375,-882.8125,-11.23046875
440789.11893325,-31.25,-50.29296875,-224.609375,-19.04296875
440789.1228395,-3.90625,-41.9921875,776.85546875,-21.97265625
440789.12674575,-9.765625,-43.45703125,343.26171875,-7.8125
440789.130652,-41.015625,-45.41015625,-333.49609375,-11.23046875
440789.13455825,-30.2734375,-44.921875,9.765625,-32.71484375
440789.1363145,-3.41796875,-51.26953125,643.06640625,-28.3203125
440789.14022075,-15.625,-48.33984375,442.3828125,-34.66796875
440789.144127,-50.29296875,-46.875,-357.421875,-38.0859375
440789.14803325,-54.19921875,-47.36328125,-365.72265625,-22.94921875
440789.1519395,-16.11328125,-42.48046875,489.2578125,-18.5546875
440789.15584575,-6.8359375,-50.29296875,343.26171875,-28.3203125
440789.159752,-35.64453125,-51.26953125,-551.26953125,-35.64453125
440789.16365825,-47.8515625,-46.38671875,-348.14453125,-31.25
440789.1675645,-20.99609375,-47.36328125,372.0703125,-21.484375
440789.17147075,8.30078125,-48.33984375,330.56640625,-11.23046875
440789.175377,-12.20703125,-43.9453125,-112.79296875,-5.37109375
440789.17928325,-42.48046875,-44.43359375,-160.15625,-12.6953125
440789.185282625,-26.85546875,-47.36328125,119.62890625,-15.625
440789.189188875,2.44140625,-42.48046875,403.80859375,-11.23046875
440789.193095125,0.48828125,-35.15625,367.67578125,-1.46484375
440789.197001375,-28.80859375,-37.109375,12.6953125,3.90625
440789.200907625,-36.62109375,-41.50390625,-103.02734375,-14.16015625
440789.204813875,-7.8125,-41.9921875,88.8671875,-13.671875
440789.208720125,-1.46484375,-47.36328125,107.421875,0.0
440789.212626375,-28.3203125,-53.7109375,-144.04296875,-3.41796875
440789.216532625,-28.80859375,-45.8984375,-216.796875,-20.5078125
440789.220438875,-3.41796875,-40.0390625,-377.9296875,-1.953125
440789.224345125,15.13671875,-31.73828125,153.80859375,7.32421875
440789.228251375,-2.44140625,-27.34375,312.01171875,-1.953125
440789.209658166,-26.3671875,-28.3203125,-219.7265625,-1.46484375
440789.213564416,-13.18359375,-27.83203125,94.7265625,-2.9296875
440789.217470666,5.859375,-28.80859375,635.25390625,7.32421875
440789.221376916,0.0,-34.66796875,388.18359375,12.6953125
440789.225283166,-30.2734375,-41.015625,-292.96875,-2.9296875
440789.229189416,-27.83203125,-34.66796875,-332.03125,-3.41796875
440789.233095666,2.9296875,-29.78515625,305.17578125,0.48828125
440789.237001916,-1.953125,-33.69140625,405.76171875,-8.7890625
440789.240908166,-36.62109375,-38.0859375,-492.1875,-15.13671875
440789.244814416,-41.015625,-32.71484375,-622.0703125,-18.06640625
440789.248720666,-7.32421875,-24.90234375,476.07421875,-18.06640625
440789.252626916,-9.765625,-30.76171875,696.77734375,-22.4609375
440789.27631,-40.52734375,-39.55078125,-384.27734375,-17.578125
440789.28021625,-49.8046875,-34.66796875,-579.58984375,-17.08984375
440789.2841225,-15.625,-34.1796875,429.6875,-16.6015625
440789.28802875,1.953125,-40.0390625,710.9375,-8.7890625
440789.291935,-23.4375,-41.015625,5.859375,-14.16015625
440789.29584125,-43.45703125,-36.62109375,-541.50390625,-31.25
440789.2997475,-25.390625,-30.76171875,-89.35546875,-35.15625
440789.30365375,0.0,-44.43359375,538.0859375,-12.6953125
440789.30756,-17.578125,-59.5703125,-266.11328125,-9.27734375
440789.31146625,-55.17578125,-45.8984375,-686.03515625,-17.08984375
440789.3153725,-48.33984375,-41.9921875,-96.6796875,-14.16015625
440789.31927875,-13.18359375,-47.8515625,255.859375,-5.37109375
440789.301864208,-5.859375,-41.015625,122.55859375,-1.46484375
440789.305770458,-31.25,-32.2265625,-92.7734375,-15.625
440789.309676708,-42.48046875,-36.1328125,-55.6640625,-13.18359375
440789.313582958,-11.71875,-42.48046875,298.828125,-10.7421875
440789.317489208,2.9296875,-42.48046875,488.28125,-22.4609375
440789.321395458,-30.76171875,-40.52734375,-154.78515625,-9.765625
440789.325301708,-52.734375,-44.921875,-487.79296875,-4.39453125
440789.329207958,-20.99609375,-48.33984375,-172.8515625,-8.7890625
440789.333114208,9.27734375,-39.0625,91.796875,1.46484375
440789.337020458,-13.18359375,-36.62109375,241.2109375,-6.8359375
440789.340926708,-41.9921875,-42.48046875,-100.09765625,-13.671875
440789.344832958,-23.4375,-40.0390625,-158.203125,-21.97265625
440789.369052291,6.34765625,-38.0859375,405.76171875,-22.4609375
440789.372958541,0.48828125,-45.8984375,303.22265625,-12.6953125
440789.376864791,-27.83203125,-48.828125,-241.2109375,-22.94921875
440789.380771041,-30.76171875,-49.31640625,-414.55078125,-28.3203125
440789.384677291,-4.8828125,-42.48046875,276.85546875,-24.90234375
440789.388583541,-5.37109375,-44.921875,330.078125,-16.11328125
440789.392489791,-31.73828125,-53.7109375,-385.7421875,-13.671875
440789.396396041,-31.25,-57.12890625,-812.5,-13.671875
440789.400302291,2.9296875,-44.921875,46.38671875,-18.06640625
440789.404208541,15.625,-46.875,818.84765625,-7.32421875
440789.408114791,-16.6015625,-57.12890625,102.5390625,-7.8125
440789.412021041,-33.203125,-48.33984375,-319.3359375,-17.08984375
440789.3895475,-8.30078125,-40.52734375,324.70703125,-9.27734375
440789.39345375,15.13671875,-38.0859375,818.84765625,-2.44140625
440789.39736,0.9765625,-40.52734375,276.85546875,6.34765625
440789.40126625,-28.3203125,-43.9453125,-392.08984375,3.41796875
440789.4051725,-12.6953125,-41.015625,-193.359375,-14.16015625
440789.40907875,29.296875,-40.52734375,360.3515625,-19.04296875
440789.412985,13.18359375,-42.96875,27.83203125,-8.30078125
440789.41689125,-30.2734375,-49.8046875,-903.3203125,-8.30078125
440789.4207975,-28.3203125,-41.9921875,-385.25390625,-24.4140625
440789.42470375,8.7890625,-41.50390625,635.7421875,-12.6953125
440789.42861,16.6015625,-43.9453125,426.7578125,14.6484375
440789.43251625,-13.671875,-38.57421875,-59.5703125,-11.23046875
440789.45960025,-15.13671875,-41.015625,-16.6015625,-22.4609375
440789.4635065,12.6953125,-45.8984375,389.16015625,-11.23046875
440789.46741275,17.578125,-43.45703125,455.078125,-10.25390625
440789.471319,-9.765625,-45.41015625,133.7890625,-12.6953125
440789.47522525,-28.80859375,-49.31640625,-106.4453125,-21.484375
440789.4791315,-9.765625,-44.921875,0.9765625,-17.08984375
440789.48303775,4.39453125,-49.31640625,-176.7578125,-18.06640625
440789.486944,-15.625,-40.52734375,-281.73828125,-26.85546875
440789.49085025,-35.64453125,-41.015625,-130.37109375,-34.66796875
440789.4947565,-30.76171875,-48.828125,6.34765625,-38.0859375
440789.49866275,-5.859375,-44.921875,345.703125,-32.2265625
440789.502569,-1.46484375,-46.38671875,451.171875,-36.1328125
440789.508027166,-26.85546875,-45.41015625,11.71875,-23.4375
440789.511933416,-32.2265625,-41.50390625,-158.203125,-23.4375
440789.515839666,-1.46484375,-48.828125,349.12109375,-34.1796875
440789.519745916,12.20703125,-55.17578125,494.62890625,-28.80859375
440789.523652166,-15.13671875,-50.29296875,70.80078125,-30.76171875
440789.527558416,-34.1796875,-55.17578125,-496.09375,-25.87890625
440789.531464666,-9.765625,-53.22265625,-271.97265625,-3.41796875
440789.535370916,12.6953125,-42.96875,576.66015625,-3.41796875
440789.539277166,-8.7890625,-45.8984375,271.484375,-15.625
440789.543183416,-36.62109375,-52.24609375,-621.09375,-15.13671875
440789.547089666,-11.23046875,-49.31640625,-301.26953125,-0.48828125
440789.550995916,24.90234375,-50.29296875,708.0078125,2.44140625
440789.5544185,-1.953125,-58.10546875,479.4921875,1.46484375
440789.55832475,-38.57421875,-58.59375,-428.7109375,-13.18359375
440789.562231,-21.97265625,-47.8515625,-166.9921875,-29.296875
440789.56613725,9.27734375,-48.828125,658.69140625,-15.625
440789.5700435,3.90625,-59.5703125,528.3203125,-13.18359375
440789.57394975,-39.0625,-61.5234375,-516.11328125,-17.08984375
440789.577856,-49.8046875,-51.7578125,-596.6796875,-36.1328125
440789.58176225,-12.20703125,-50.78125,446.77734375,-46.875
440789.5856685,-0.48828125,-62.01171875,544.921875,-33.203125
440789.58957475,-29.78515625,-65.91796875,-546.875,-21.484375
440789.593481,-39.0625,-57.6171875,-490.72265625,-24.4140625
